,citation,clustering_coeffs,degree_centrality,betweenness_centrality,gatekeepres,populars,embeddeds,colab_w_g,colab_w_p,colab_w_em
57216472376,2.0,1.0,0.0003289129427242962,0.0,0,1,1,0,1,1
57215070375,2.0,1.0,0.0003289129427242962,0.0,0,1,0,0,1,1
57215030408,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57215028533,1.0,1.0,7.475294152824914e-05,0.0,0,0,0,0,0,0
57215023139,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57215022288,0.0,1.0,0.0001046541181395488,0.0,0,0,0,0,0,1
57215021757,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57215019678,0.0,0.0,0.0,0.0,0,0,0,0,0,0
57215018777,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,1
57215017146,1.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57215016555,0.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,0
57215015798,0.0,1.0,0.005128051788837891,0.0,0,1,0,1,1,1
57215015361,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57215011813,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57215011271,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57215010954,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57215010610,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57215010278,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57215010063,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,0,0,0
57215009561,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,1
57215009349,0.0,0.0,1.4950588305649827e-05,0.0,0,0,0,0,0,0
57215008635,0.0,1.0,0.0002093082362790976,0.0,0,0,0,0,0,0
57215008475,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,0,0
57215008255,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,1,0,0
57215005710,0.0,1.0,0.0001046541181395488,0.0,0,0,0,1,0,0
57215005323,0.0,1.0,5.980235322259931e-05,0.0,0,0,0,0,0,0
57215004662,0.0,1.0,2.9901176611299655e-05,0.0,0,0,0,1,0,0
57215003859,0.0,1.0,4.4851764916949484e-05,0.0,0,0,0,0,0,0
57215003582,4.0,1.0,8.970352983389897e-05,0.0,0,0,0,0,0,0
